product_id,rating,text
PROD001,5,"produto excelente! qualidade maravilhosa, super recomendo!"
PROD001,5,adorei! melhor compra que já fiz. perfeito!
PROD001,4,"muito bom, atendeu minhas expectativas"
PROD002,1,"péssimo produto, qualidade horrível. não recomendo!"
PROD002,2,decepcionante. muitos defeitos e problemas.
PROD002,5,"apesar dos reviews ruins, achei ótimo!"
PROD003,3,"produto normal, nada de especial"
PROD003,3,"nem bom nem ruim, mediano"
PROD004,5,incrível! fantástico! top demais!
PROD004,1,pior compra da minha vida. horrível!
